clk,period,time
1,8106,8106
2,7606,7606
3,7406,7406
1,1000,9106
2,507,8114
3,301,7708
1,1000,10107
2,492,8607
3,298,8006
1,999,11106
2,507,9114
3,300,8306
1,1000,12106
2,492,9607
3,309,8616
1,999,13106
2,507,10114
3,290,8906
1,1000,14106
2,492,10607
3,301,9208
1,1000,15106
2,507,11114
3,298,9506
1,1000,16107
2,492,11607
3,300,9807
1,999,17106
2,507,12114
3,317,10124
1,1000,18107
2,492,12607
3,282,10406
1,1000,19107
2,507,13114
3,301,10708
1,999,20106
2,492,13606
3,298,11006
1,1000,21106
2,507,14114
3,299,11306
1,1000,22107
2,492,14607
3,309,11616
1,1000,23107
2,507,15114
3,290,11906
1,999,24106
2,492,15607
3,301,12208
1,1000,25107
2,507,16114
3,298,12506
1,999,26107
2,492,16606
3,300,12806
1,1000,27107
2,507,17114
3,317,13123
1,999,28106
2,492,17606
3,282,13406
1,1000,29107
2,507,18114
3,301,13708
1,999,30106
2,492,18607
3,298,14006
1,1000,31107
2,507,19114
3,300,14306
1,1000,32107
2,492,19607
3,309,14616
1,999,33106
2,507,20114
3,290,14906
1,1000,34106
2,492,20607
3,301,15208
1,1000,35106
2,507,21114
3,298,15506
1,1000,36107
2,492,21607
3,300,15807
1,1000,37107
2,507,22114
3,316,16124
1,1000,38107
2,492,22606
3,282,16406
1,999,39106
2,507,23114
3,301,16708
1,1000,40107
2,492,23606
3,298,17006
1,1000,41107
2,507,24114
3,299,17306
1,999,42107
2,492,24606
3,309,17616
1,1000,43107
2,507,25114
3,290,17906
1,999,44106
2,492,25607
3,301,18208
1,999,45106
2,507,26114
3,298,18506
1,1000,46107
2,492,26607
3,300,18806
1,1000,47107
2,507,27114
3,317,19124
1,1000,48107
2,492,27607
3,282,19406
1,999,49107
2,507,28114
3,301,19708
1,1000,50107
2,492,28607
3,298,20007
1,1000,51107
2,507,29114
3,299,20306
1,1000,52107
2,492,29606
3,309,20616
1,999,53106
2,507,30114
3,290,20906
1,1000,54107
2,492,30607
3,301,21208
1,999,55106
2,507,31114
3,298,21506
1,1000,56106
2,492,31607
3,300,21807
1,1000,57107
2,507,32114
3,317,22124
1,1000,58107
2,492,32607
3,282,22406
1,999,59106
2,507,33114
3,301,22708
1,999,60106
2,492,33607
3,298,23006
1,1000,61107
2,507,34114
3,300,23306
1,999,62106
2,492,34607
3,309,23616
1,1000,63107
2,507,35114
3,290,23906
1,1000,64107
2,492,35606
3,301,24208
1,999,65106
2,507,36114
3,298,24506
1,1000,66107
2,492,36607
3,300,24807
1,1000,67107
2,507,37114
3,317,25124
1,999,68107
2,492,37607
3,282,25406
1,999,69107
2,507,38114
3,301,25708
1,999,70107
2,492,38606
3,298,26006
1,1000,71107
2,507,39114
3,300,26307
1,999,72107
2,492,39607
3,309,26616
1,1000,73107
2,507,40114
3,290,26906
1,1000,74107
2,492,40607
3,301,27208
1,999,75107
2,507,41114
3,298,27506
1,999,76106
2,492,41607
3,300,27807
1,1000,77107
2,507,42114
3,316,28123
1,1000,78107
2,492,42607
3,282,28406
1,999,79107
2,507,43114
3,301,28708
1,999,80107
2,492,43607
3,298,29006
1,999,81106
2,507,44114
3,299,29306
1,1000,82107
2,492,44606
3,309,29616
1,999,83106
2,507,45114
3,290,29906
1,1000,84107
2,492,45606
3,301,30208
1,1000,85107
2,507,46114
3,298,30506
1,999,86107
2,492,46607
3,300,30807
1,1000,87107
2,507,47114
3,317,31124
1,1000,88107
2,492,47606
3,282,31406
1,999,89107
2,507,48114
3,301,31708
1,1000,90107
2,492,48607
3,298,32006
1,1000,91107
2,507,49114
3,300,32306
1,999,92106
2,492,49606
3,309,32616
1,1000,93107
2,507,50114
3,290,32906
1,1000,94107
2,492,50607
3,301,33208
1,1000,95107
2,507,51114
3,298,33506
1,1000,96107
2,492,51606
3,300,33807
1,1000,97107
2,507,52114
3,316,34123
1,999,98106
2,492,52607
3,282,34406
1,1000,99107
2,507,53114
3,301,34708
1,999,100106
2,492,53607
3,298,35006
1,1000,101106
2,507,54114
3,300,35306
1,1000,102106
2,492,54607
3,309,35616
1,1000,103107
2,507,55114
3,290,35906
1,1000,104107
2,492,55607
3,301,36208
1,1000,105107
2,507,56114
3,298,36506
1,1000,106107
2,492,56607
3,300,36806
1,999,107106
2,507,57114
3,317,37124
1,1000,108106
2,492,57606
3,282,37406
1,1000,109107
2,507,58114
3,301,37708
1,1000,110107
2,492,58606
3,298,38006
1,999,111106
2,507,59114
3,300,38306
1,1000,112107
2,492,59607
3,309,38616
1,999,113107
2,507,60114
3,290,38906
1,999,114106
2,492,60606
3,301,39208
1,1000,115107
2,507,61114
3,298,39506
1,999,116106
2,492,61607
3,300,39806
1,1000,117107
2,507,62114
3,317,40124
1,999,118107
2,492,62607
3,282,40406
1,999,119106
2,507,63114
3,301,40708
1,1000,120107
2,492,63606
3,298,41006
1,1000,121107
2,507,64114
3,300,41306
1,999,122107
2,492,64607
3,309,41616
1,1000,123107
2,507,65114
3,290,41906
1,999,124107
2,492,65607
3,301,42208
1,999,125106
2,507,66114
3,298,42506
1,1000,126107
2,492,66607
3,300,42807
1,1000,127107
2,507,67114
3,317,43124
1,1000,128107
2,492,67607
3,282,43406
1,999,129106
2,507,68114
3,301,43708
1,1000,130107
2,492,68606
3,298,44006
1,999,131107
2,507,69114
3,300,44306
1,1000,132107
2,492,69607
3,309,44616
1,999,133106
2,507,70114
3,290,44906
1,999,134106
2,492,70607
3,301,45208
1,1000,135107
2,507,71114
3,298,45506
1,1000,136107
2,492,71607
3,300,45806
1,1000,137107
2,507,72114
3,317,46124
1,999,138107
2,492,72606
3,282,46406
1,1000,139107
2,507,73114
3,301,46708
1,999,140106
2,492,73606
3,298,47006
1,1000,141106
2,507,74114
3,300,47306
1,1000,142107
2,492,74607
3,309,47616
1,999,143107
2,507,75114
3,290,47906
1,999,144106
2,492,75606
3,301,48208
1,1000,145107
2,507,76114
3,298,48506
1,999,146106
2,492,76606
3,300,48806
1,1000,147107
2,507,77114
3,317,49124
1,999,148106
2,492,77607
3,282,49406
1,1000,149107
2,507,78114
3,301,49708
1,999,150106
2,492,78606
3,298,50006
1,1000,151106
2,507,79114
3,300,50306
1,999,152106
2,492,79606
3,309,50616
1,1000,153106
2,507,80114
3,290,50906
1,1000,154107
2,492,80607
3,301,51208
1,999,155107
2,507,81114
3,298,51506
1,999,156107
2,492,81607
3,300,51807
1,1000,157107
2,507,82114
3,317,52124
1,999,158106
2,492,82607
3,282,52406
1,1000,159107
2,507,83114
3,301,52708
1,999,160107
2,492,83607
3,298,53006
1,1000,161107
2,507,84114
3,300,53306
1,999,162106
2,492,84607
3,309,53616
1,1000,163107
2,507,85114
3,290,53906
1,999,164107
2,492,85607
3,301,54208
1,1000,165107
2,507,86114
3,298,54506
1,999,166107
2,492,86607
3,300,54806
1,999,167106
2,507,87114
