clk,time,time2
1,8627,800
2,8127,800
3,8030,700
1,1000,900
2,540,800
3,206,800
1,1000,1000
2,459,900
3,291,800
1,1000,1100
2,540,900
3,299,800
1,999,1200
2,493,1000
3,352,900
1,1000,1300
2,506,1000
3,247,900
1,999,1400
2,459,1100
3,327,900
1,1000,1500
2,540,1100
3,371,1000
1,1000,1600
2,459,1200
3,200,1000
1,999,1700
2,540,1200
3,400,1000
1,1000,1800
2,459,1300
3,299,1100
1,999,1900
2,540,1300
3,300,1100
1,1000,2000
2,459,1400
3,400,1100
1,1000,2100
2,540,1400
3,298,1200
1,1000,2200
2,459,1500
3,300,1200
1,999,2300
2,540,1500
3,400,1200
1,1000,2400
2,459,1600
3,299,1300
1,1000,2500
2,541,1600
3,300,1300
1,1000,2600
2,458,1700
3,400,1300
1,999,2700
2,541,1700
3,298,1400
1,999,2800
2,458,1800
3,300,1400
1,1000,2900
2,541,1800
3,400,1400
1,999,3000
2,458,1900
3,298,1500
1,1000,3100
2,541,1900
3,300,1500
1,999,3200
2,458,2000
3,401,1500
1,1000,3300
2,541,2000
3,298,1600
1,999,3400
2,458,2100
3,300,1600
1,1000,3500
2,541,2100
3,401,1600
1,999,3600
2,458,2200
3,297,1700
1,1000,3700
2,541,2200
3,300,1700
1,1000,3800
2,458,2300
3,402,1700
1,999,3900
2,541,2300
3,297,1800
1,1000,4000
2,458,2400
3,300,1800
1,1000,4100
2,541,2400
3,402,1800
1,999,4200
2,458,2500
3,297,1900
1,999,4300
2,541,2500
3,300,1900
1,1000,4400
2,458,2600
3,402,1900
1,999,4500
2,541,2600
3,297,2000
1,1000,4600
2,458,2700
3,300,2000
1,1000,4700
2,541,2700
3,402,2000
1,999,4800
2,458,2800
3,297,2100
1,1000,4900
2,541,2800
3,300,2100
1,1000,5000
2,458,2900
3,402,2100
1,1000,5100
2,541,2900
3,297,2200
1,999,5200
2,458,3000
3,300,2200
1,1000,5300
2,541,3000
3,402,2200
1,999,5400
2,458,3100
3,297,2300
1,1000,5500
2,541,3100
3,300,2300
1,999,5600
2,458,3200
3,402,2300
1,1000,5700
2,541,3200
3,297,2400
1,1000,5800
2,458,3300
3,300,2400
1,999,5900
2,541,3300
3,402,2400
1,1000,6000
2,458,3400
3,297,2500
1,1000,6100
2,541,3400
3,300,2500
1,999,6200
2,458,3500
3,402,2500
1,1000,6300
2,541,3500
3,297,2600
1,999,6400
2,458,3600
3,300,2600
1,1000,6500
2,541,3600
3,402,2600
1,1000,6600
2,458,3700
3,297,2700
1,1000,6700
2,541,3700
3,300,2700
1,1000,6800
2,458,3800
3,402,2700
1,999,6900
2,541,3800
3,297,2800
1,1000,7000
2,458,3900
3,300,2800
1,999,7100
2,542,3900
3,402,2800
1,1000,7200
2,458,4000
3,297,2900
1,1000,7300
2,541,4000
3,300,2900
1,999,7400
2,458,4100
3,402,2900
1,1000,7500
2,541,4100
