clk,time
2,23
2,2022
1,10418
2,3694
3,15683
2,6088
1,987
2,4322
1,4316
2,4408
2,2164
3,16796
1,10277
2,8043
2,1041
1,4752
2,2208
3,10882
2,228
1,3514
2,2204
2,738
2,1444
3,5603
1,5858
2,3281
2,2568
1,6975
2,4181
1,414
3,13574
2,7137
2,3204
1,8038
2,4565
2,5792
3,22884
1,17175
2,14261
2,4094
1,14819
2,8844
2,4241
3,29125
2,5015
1,18067
2,9322
2,1085
3,13078
1,855
2,3856
1,2244
2,1229
2,1659
1,2708
2,2121
3,7793
2,1177
1,4418
2,2732
2,1808
3,7474
1,6091
2,4037
2,2475
2,731
1,5198
2,3468
3,9318
2,3211
1,6513
2,3209
1,3206
2,182
2,2351
3,10406
1,6025
2,4238
2,3495
1,8995
2,5205
3,16285
2,646
1,11709
2,6446
2,4209
2,1054
3,18113
1,13951
2,9308
2,104
1,5691
2,225
1,1191
3,10747
2,2873
2,166
1,4399
2,264
2,7096
3,15396
1,15691
2,14531
2,3398
1,13194
2,3841
2,1763
3,21724
2,364
1,9199
2,3869
2,5534
3,17619
1,1946
2,12815
1,6854
2,11788
2,5731
1,13158
2,7098
3,37387
2,719
1,18932
2,12259
2,5259
3,24802
1,23357
2,13164
2,5921
2,6021
1,14835
2,7418
3,32619
2,7408
1,19454
2,11952
1,11584
2,7146
2,615
3,32469
1,14685
2,13632
2,3917
1,1059
2,2745
3,16657
2,4809
1,9665
2,4769
2,46
2,2258
3,1225
1,9772
2,7662
2,7312
1,13985
2,7244
1,7206
3,27108
2,1084
2,7849
1,18544
2,7629
2,2685
3,23186
1,10201
2,6068
2,3968
1,8585
2,391
2,4642
3,18933
2,5281
1,13789
2,5941
2,4015
3,15147
1,12642
2,7531
1,7559
2,6268
2,4597
1,7797
2,6123
3,24487
2,4634
1,10847
2,5146
2,32
3,15031
1,12335
2,10588
2,2122
2,3588
1,14365
2,5698
3,22091
2,5705
1,11502
2,5713
1,5704
2,755
2,766
3,18346
1,11823
2,9854
2,1044
1,5196
2,2214
3,11312
2,2281
1,3505
2,2209
2,728
2,1443
3,6618
1,5863
2,3282
2,2316
1,6466
2,5838
1,3622
3,14462
2,6331
2,766
1,9319
2,6395
2,5664
3,21726
1,20987
2,13776
2,6928
1,12164
2,6582
2,7719
3,32004
2,6394
1,20656
2,7061
2,3966
3,1878
1,14442
2,8962
1,6795
2,9044
2,1327
1,10195
2,6657
3,25948
2,6756
1,13496
2,7268
2,3684
3,14988
1,11714
2,6354
2,4352
2,1645
1,8872
2,3569
3,18439
2,5299
1,8967
2,5999
1,5997
2,3656
2,1782
3,1656
1,8732
2,9956
2,7974
1,13045
2,4741
3,23013
2,8878
1,17815
2,8885
2,4557
2,4331
3,26612
1,22086
2,1382
2,699
1,15504
2,7273
1,7233
3,30444
2,10621
2,3871
1,14354
2,7652
2,1088
3,18052
1,7622
2,4371
2,1039
1,4877
2,2249
2,686
3,8144
2,3017
1,4892
2,1712
2,1018
3,5939
1,5241
2,4615
1,1983
2,1976
2,1598
1,3385
2,1846
3,9984
2,1924
1,5035
2,3634
2,646
3,13701
1,15368
2,10463
2,3775
2,3094
1,13739
2,6864
3,2429
2,6864
1,17589
2,10642
1,7278
2,6954
2,324
3,27512
1,13188
2,10931
2,1648
1,8953
2,4521
3,15432
2,3651
1,6547
2,2839
2,1558
2,1338
3,933
1,7006
2,6423
2,6853
1,14359
2,4285
1,4239
3,23611
2,11675
2,4241
1,15781
2,8376
2,2877
3,21238
1,11007
2,5932
2,3482
1,10115
2,6999
2,1485
3,17608
2,4146
1,12584
2,7471
2,5134
3,1813
1,14805
2,9878
1,6296
2,5203
2,2621
1,7647
2,5069
